date_time,wind_speed_BKK,wind_dir_BKK,wind_speed_Chiangmai,wind_dir_Chiangmai,wind_speed_Khonkaen,wind_dir_Khonkaen,wind_speed_Rayong,wind_dir_Rayong,wind_speed_Saraburi,wind_dir_Saraburi,wind_speed_Surat,wind_dir_Surat
2017-07-01 06:00:00,17.0,242.0,30.0,250.0,28.0,245.0,22.0,237.0,25.0,243.0,15.0,235.0
2017-07-01 12:00:00,18.0,250.0,25.0,245.0,30.0,242.0,24.0,242.0,23.0,242.0,17.0,247.0
2017-07-01 18:00:00,26.0,255.0,23.0,255.0,27.0,243.0,27.0,248.0,28.0,235.0,21.0,258.0
2017-07-02 00:00:00,20.0,262.0,22.0,250.0,30.0,248.0,24.0,248.0,27.0,255.0,18.0,238.0
2017-07-02 06:00:00,18.0,247.0,20.0,253.0,30.0,267.0,24.0,247.0,31.0,253.0,25.0,248.0
2017-07-02 12:00:00,23.0,255.0,21.0,238.0,36.0,265.0,25.0,253.0,29.0,250.0,27.0,262.0
2017-07-02 18:00:00,36.0,277.0,29.0,245.0,37.0,265.0,31.0,278.0,38.0,265.0,23.0,272.0
2017-07-03 00:00:00,33.0,290.0,33.0,273.0,28.0,282.0,26.0,293.0,36.0,280.0,22.0,270.0
2017-07-03 06:00:00,28.0,278.0,26.0,270.0,21.0,280.0,22.0,272.0,32.0,273.0,24.0,267.0
2017-07-03 12:00:00,22.0,280.0,23.0,253.0,18.0,268.0,20.0,270.0,24.0,263.0,23.0,262.0
2017-07-03 18:00:00,30.0,270.0,30.0,267.0,20.0,253.0,27.0,283.0,31.0,263.0,18.0,275.0
2017-07-04 00:00:00,34.0,278.0,40.0,267.0,27.0,258.0,25.0,280.0,40.0,278.0,17.0,277.0
2017-07-04 06:00:00,34.0,272.0,39.0,265.0,34.0,292.0,22.0,268.0,40.0,278.0,25.0,267.0
2017-07-04 12:00:00,26.0,275.0,31.0,265.0,27.0,293.0,21.0,260.0,35.0,275.0,29.0,262.0
2017-07-04 18:00:00,29.0,283.0,29.0,273.0,16.0,285.0,22.0,282.0,33.0,275.0,32.0,272.0
2017-07-05 00:00:00,31.0,277.0,20.0,262.0,13.0,250.0,25.0,280.0,40.0,268.0,32.0,275.0
2017-07-05 06:00:00,27.0,260.0,24.0,257.0,21.0,253.0,28.0,270.0,37.0,258.0,36.0,258.0
2017-07-05 12:00:00,36.0,260.0,18.0,247.0,16.0,273.0,33.0,267.0,37.0,255.0,31.0,252.0
2017-07-05 18:00:00,38.0,270.0,19.0,257.0,14.0,245.0,35.0,270.0,36.0,270.0,27.0,250.0
2017-07-06 00:00:00,31.0,265.0,17.0,265.0,23.0,238.0,31.0,262.0,38.0,265.0,33.0,250.0
