date_time,wind_speed_BKK,wind_direction_BKK,wind_speed_Chiangmai,wind_direction_Chiangmai,wind_speed_Khonkaen,wind_direction_Khonkaen,wind_speed_Rayong,wind_direction_Rayong,wind_speed_Saraburi,wind_direction_Saraburi,wind_speed_Surat,wind_direction_Surat
2020-06-30 22:00:00,35,270,17,225,21,230,47,270,41,250,23,260
2020-07-01 01:00:00,42,260,24,265,37,240,41,260,41,255,21,255
2020-07-01 04:00:00,55,270,23,280,39,255,46,260,49,265,29,255
2020-07-01 07:00:00,53,250,18,265,36,260,40,255,52,260,35,250
2020-07-01 10:00:00,51,260,22,265,34,265,38,250,61,260,36,250
2020-07-01 13:00:00,33,280,20,240,20,255,35,260,46,275,29,255
2020-07-01 16:00:00,35,265,23,250,16,265,36,270,48,270,29,260
2020-07-01 19:00:00,46,270,24,260,9,270,43,275,39,270,23,260
2020-07-01 22:00:00,60,275,28,275,9,260,50,280,43,280,25,270
2020-07-02 01:00:00,39,275,24,270,15,240,39,275,48,280,23,265
2020-07-02 04:00:00,40,275,22,275,23,265,36,270,40,280,25,265
2020-07-02 07:00:00,34,270,19,280,18,275,32,260,44,275,24,260
2020-07-02 10:00:00,34,270,14,275,18,280,39,260,40,275,23,250
2020-07-02 13:00:00,27,260,11,250,16,255,33,260,22,255,24,245
2020-07-02 16:00:00,27,255,9,235,12,240,41,255,31,255,27,260
2020-07-02 19:00:00,35,260,15,235,11,235,39,265,33,240,29,260
2020-07-02 22:00:00,34,275,17,245,20,220,42,265,36,255,29,260
2020-07-03 01:00:00,39,290,21,250,16,240,35,280,30,265,37,250
2020-07-03 04:00:00,40,285,24,270,16,250,38,285,34,280,41,245
2020-07-03 07:00:00,35,275,23,275,12,255,35,270,30,275,35,245
2020-07-03 10:00:00,34,270,19,260,10,250,36,260,34,265,44,240
2020-07-03 13:00:00,31,260,11,215,10,275,32,250,27,260,37,250
2020-07-03 16:00:00,31,250,18,215,10,260,39,250,33,250,30,255
2020-07-03 19:00:00,53,250,24,225,12,205,48,250,41,235,31,265
2020-07-03 22:00:00,53,255,27,255,22,185,47,245,46,250,33,265
2020-07-04 01:00:00,46,265,25,260,21,210,42,260,46,265,37,260
2020-07-04 04:00:00,44,265,23,255,25,225,42,255,44,275,34,265
2020-07-04 07:00:00,31,255,24,260,31,255,37,255,33,260,38,270
2020-07-04 10:00:00,34,270,23,250,22,270,38,260,30,260,35,265
2020-07-04 13:00:00,26,280,13,260,20,270,32,265,32,270,34,275
2020-07-04 16:00:00,39,265,15,240,11,250,35,270,42,265,30,275
2020-07-04 19:00:00,39,260,21,255,8,270,39,270,42,260,30,290
2020-07-04 22:00:00,49,275,20,265,10,250,33,280,47,255,19,290
2020-07-05 01:00:00,45,270,16,255,12,225,33,285,42,265,12,275
2020-07-05 04:00:00,42,280,15,265,10,240,29,280,38,280,20,290
2020-07-05 07:00:00,38,270,12,230,7,280,39,290,51,265,25,285
2020-07-05 10:00:00,42,280,11,225,9,330,39,290,45,270,22,290
2020-07-05 13:00:00,24,280,15,260,2,40,40,295,19,285,9,265
2020-07-05 16:00:00,34,265,15,265,2,345,39,285,20,270,14,265
2020-07-05 19:00:00,23,295,16,230,4,230,33,285,18,270,19,310
2020-07-05 22:00:00,32,290,28,270,4,190,24,285,20,260,15,320
2020-07-06 01:00:00,26,300,21,275,11,215,22,300,17,260,13,295
2020-07-06 04:00:00,26,325,16,280,14,225,28,315,22,305,15,300
2020-07-06 07:00:00,19,305,14,300,8,270,19,315,17,340,16,315
2020-07-06 10:00:00,22,335,10,285,2,285,21,320,21,355,16,305
2020-07-06 13:00:00,10,345,7,265,2,165,14,320,6,15,11,300
2020-07-06 16:00:00,9,305,9,210,7,180,12,305,4,305,13,285
2020-07-06 19:00:00,7,0,15,270,10,175,4,340,12,10,9,315
2020-07-06 22:00:00,7,340,13,265,13,185,4,190,6,10,8,305
2020-07-07 01:00:00,5,130,11,260,6,155,12,185,6,145,13,300
2020-07-07 04:00:00,8,150,12,270,12,145,13,200,11,170,10,315
2020-07-07 07:00:00,5,165,4,275,20,165,10,175,8,185,8,325
2020-07-07 10:00:00,6,165,8,240,19,175,14,145,10,155,3,300
2020-07-07 13:00:00,9,145,7,225,18,175,16,140,13,145,7,315
2020-07-07 16:00:00,16,170,9,175,17,180,19,160,17,165,5,295
2020-07-07 19:00:00,29,150,8,215,21,160,28,155,27,155,2,240
2020-07-07 22:00:00,28,155,14,185,18,175,26,170,26,155,6,175
2020-07-08 01:00:00,22,160,19,195,13,160,24,185,20,150,10,245
2020-07-08 04:00:00,18,175,18,185,17,150,25,175,19,160,10,260
2020-07-08 07:00:00,22,190,20,185,17,185,23,180,20,180,8,225
2020-07-08 10:00:00,22,195,24,195,16,205,20,185,19,190,11,240
2020-07-08 13:00:00,15,175,17,195,19,210,16,185,18,190,9,240
2020-07-08 16:00:00,17,180,15,195,16,210,18,190,15,200,4,265
2020-07-08 19:00:00,16,190,15,220,15,190,14,190,18,185,7,255
2020-07-08 22:00:00,18,190,13,225,16,185,17,180,22,190,7,240
2020-07-09 01:00:00,15,205,18,225,22,200,10,190,22,200,5,305
2020-07-09 04:00:00,14,225,17,240,25,230,12,210,18,225,9,280
2020-07-09 07:00:00,14,235,18,245,25,240,12,210,16,225,12,245
2020-07-09 10:00:00,13,250,15,250,22,245,12,220,18,225,20,265
2020-07-09 13:00:00,12,250,20,250,15,225,10,245,16,230,18,280
2020-07-09 16:00:00,12,265,18,235,20,230,13,265,20,250,17,285
2020-07-09 19:00:00,11,240,22,265,17,205,9,245,23,235,10,300
2020-07-09 22:00:00,13,245,22,260,23,215,11,245,23,240,5,290
2020-07-10 01:00:00,12,245,20,265,20,205,10,225,22,240,12,260
2020-07-10 04:00:00,13,240,23,265,26,220,13,230,22,235,17,260
2020-07-10 07:00:00,14,245,21,255,17,250,12,225,20,245,13,250
2020-07-10 10:00:00,16,275,19,250,15,250,10,260,20,255,16,265
2020-07-10 13:00:00,14,275,17,245,16,230,11,280,14,255,17,280
2020-07-10 16:00:00,17,285,17,235,18,230,14,270,16,255,13,295
2020-07-10 19:00:00,16,250,21,260,17,210,14,230,25,250,16,290
2020-07-10 22:00:00,13,255,20,260,21,205,11,245,32,235,17,290
2020-07-11 01:00:00,10,225,23,260,26,195,9,245,21,225,22,290
2020-07-11 04:00:00,10,230,27,260,25,225,8,275,17,220,24,285
2020-07-11 07:00:00,16,265,21,250,17,235,8,270,21,260,16,295
2020-07-11 10:00:00,16,275,21,255,13,255,9,270,17,280,17,295
2020-07-11 13:00:00,14,310,26,270,13,220,7,310,9,290,17,290
2020-07-11 16:00:00,12,305,12,255,16,225,10,310,10,270,14,290
2020-07-11 19:00:00,17,300,21,260,4,185,15,320,15,280,9,290
2020-07-11 22:00:00,5,300,22,270,18,175,6,335,15,270,6,285
2020-07-12 01:00:00,6,270,19,250,23,190,4,20,12,245,12,280
2020-07-12 04:00:00,9,260,16,260,27,195,1,240,13,230,13,280
2020-07-12 07:00:00,9,240,14,245,25,205,5,185,13,220,11,225
2020-07-12 10:00:00,10,235,14,250,19,215,10,205,14,235,18,245
2020-07-12 13:00:00,8,220,18,245,15,220,10,220,13,225,20,255
2020-07-12 16:00:00,9,225,16,210,10,240,14,225,13,235,29,255
2020-07-12 19:00:00,9,230,5,270,6,225,13,225,16,235,21,265
2020-07-12 22:00:00,4,210,6,215,12,170,11,225,14,245,31,265
2020-07-13 01:00:00,13,215,15,215,20,195,17,220,20,215,32,270
2020-07-13 04:00:00,14,215,13,190,22,215,18,225,21,210,34,270
2020-07-13 07:00:00,13,260,26,210,36,195,17,240,21,215,23,265
2020-07-13 10:00:00,15,260,17,250,29,195,19,240,21,240,24,260
2020-07-13 13:00:00,6,315,18,240,19,205,9,215,12,235,15,265
2020-07-13 16:00:00,5,270,9,245,12,180,12,220,14,250,17,250
2020-07-13 19:00:00,13,240,9,225,19,170,17,210,16,245,38,245
2020-07-13 22:00:00,15,240,9,235,20,155,17,225,21,220,44,245
2020-07-14 01:00:00,21,255,13,185,10,170,22,245,22,235,35,250
2020-07-14 04:00:00,20,250,14,170,19,175,21,250,23,240,21,255
2020-07-14 07:00:00,19,250,18,185,18,185,20,240,23,240,24,260
2020-07-14 10:00:00,14,245,12,180,15,190,21,270,19,250,18,260
2020-07-14 13:00:00,13,295,13,180,9,210,17,300,12,260,23,270
2020-07-14 16:00:00,14,285,12,175,5,180,15,300,11,280,18,270
